,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.1_Expected Number of Deaths,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.2_Expected Number of Deaths,A.3_Expected Annual Damage,A.3_Dike Investment Costs,A.3_Expected Number of Deaths,A.4_Expected Annual Damage,A.4_Dike Investment Costs,A.4_Expected Number of Deaths,A.5_Expected Annual Damage,A.5_Dike Investment Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
10,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2,10,9,5,0,0,6,8,6,7,10,3,7,9,10,7,0.0,316615263.1355205,0.0,7842093.344537432,66045103.44010488,0.0008872029756019392,0.0,133143224.9050664,0.0,0.0,54286943.309092626,0.0,0.0,215511096.2280901,0.0,851200000.0,252.5058184910977
11,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,2,5,4,8,10,7,0,8,7,0,6,0,3,1,10,4,0.0,213814071.73006636,0.0,0.0,202118567.8571397,0.0,0.0,82060304.65513833,0.0,13892089.328570707,22928006.72310114,0.0007637753956391299,149195006.564712,133503669.37141114,0.014404233595386874,559900000.0,6753.386145798153
12,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,3,3,2,3,1,0,4,4,8,3,2,0,9,9,4,0.0,134644726.2576002,0.0,0.0,90143923.5488522,0.0,0.0,105388391.17181501,0.0,84968508.00085348,16563094.679399516,0.009983947101295144,0.0,186092380.3715861,0.0,1051100000.0,2363.416652121351
13,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,2,2,3,3,1,4,8,5,10,7,10,4,3,9,8,6,0.0,132514534.68415771,0.0,0.0,189573028.88953608,0.0,0.0,137749919.4648633,0.0,0.0,47482018.13757801,0.0,1555164.0978945522,189990468.570464,0.0001638366583820705,1204700000.0,58.023355994441566
14,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,2,6,3,6,6,1,1,5,4,9,10,0,0,1,0,1,0.0,194611727.85397255,0.0,0.0,161218867.4218822,0.0,0.0,114980124.65934801,0.0,496281.25995755626,20384338.443195168,3.234078141875036e-05,883878346.7816534,50929971.20054293,0.08829400440400614,1434500000.0,34856.16678572672
15,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,7,4,10,2,0,10,10,6,6,10,0,0,10,5,5,0.0,266309508.2515163,0.0,0.0,149261759.37043905,0.0,0.0,141903977.42546806,0.0,0.0,20384338.443195168,0.0,0.0,170211710.04101685,0.0,1474700000.0,0.0
16,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,2,9,10,2,1,0,0,5,3,2,0,0,6,10,7,5,0.0,284495140.01973325,0.0,0.0,38245121.951764055,0.0,0.0,86427363.44892766,0.0,146827239.33893234,12586457.998778107,0.0064175582172410406,0.0,184950365.0702633,0.0,771800000.0,7031.130328462138
17,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,2,5,7,2,4,5,5,1,1,0,9,10,7,5,4,6,0.0,190332994.9091636,0.0,0.0,201702786.22359943,0.0,0.0,41292219.28177295,0.0,4183385.205880708,72729886.04650332,0.00027085084913018863,88621864.2350903,130654090.09856677,0.00916749987574418,781500000.0,3517.9359896737396
18,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,2,3,2,5,10,2,0,0,7,1,8,3,1,4,4,2,0.0,147343878.22871023,0.0,0.0,159442877.20111895,0.0,25589976.222208966,59903444.52010451,0.005240054745705522,0.0,36316481.68192556,0.0,18340915.754867032,107638715.3561709,0.0018371861393804878,1018700000.0,1391.4386186811485
19,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,5,4,3,8,3,4,9,1,9,9,7,0,1,10,3,0.0,167798331.6592725,0.0,0.0,221092645.73652118,0.0,0.0,124901895.69704014,0.0,153603.71115549974,37441554.88587584,2.3046827686218526e-05,157135059.42905456,129125169.00378717,0.03666941924955558,1390100000.0,3872.6903191921224
20,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,3,7,8,0,0,3,9,6,3,6,1,1,0,1,4,0.0,224425309.96989903,0.0,7611780.922134752,47842699.56310011,0.005592600351055503,0.0,123150552.29406703,0.0,8485256.261378236,28315898.150827937,0.003122910988123775,318777226.84669715,59554855.274964996,0.20623699976471316,1336200000.0,0.0
21,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,8,4,5,5,4,5,2,3,4,3,7,8,0,0,7,0.0,219678615.6365205,0.0,0.0,202917863.58331275,0.0,0.0,79281364.67205806,0.0,30714154.066227514,46769420.62925812,0.0033343869647044864,236293626.43633372,44193513.54513965,0.054486113039306165,1233700000.0,6798.777091475626
22,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,3,10,8,2,6,8,1,2,3,6,10,2,0,10,5,0,0.0,270085652.65017223,0.0,0.0,226692975.3372218,0.0,0.0,85190627.71842328,0.0,1199213.2753021459,30644404.427416287,6.2836510131058e-05,1700061.8790585531,109499731.57958442,0.0001438992364322916,1263000000.0,134.69132107987193
23,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,10,4,8,10,5,10,2,9,0,9,10,0,1,1,2,0.0,284189771.02205217,0.0,0.0,347407584.98814714,0.0,0.0,65599578.68584207,0.0,1126454.9911647772,45726176.65380286,0.00017112023460831528,444574815.3979039,80425146.24616088,0.10642204363020749,1135700000.0,10600.822132095083
24,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,5,1,8,6,0,2,4,0,8,7,6,3,9,1,10,0.0,185989644.76216072,0.0,0.0,118427379.06875929,0.0,0.0,69051880.14680123,0.0,4072861.1287757135,43269289.48254271,0.0005566301493528986,0.0,168400741.74891925,0.0,1215000000.0,104.2892821295893
25,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,3,0,7,0,1,10,9,5,1,1,6,8,6,8,6,5,0.0,68139002.95605196,0.0,0.0,271403826.12795144,0.0,0.0,77644475.05391562,0.0,3492733.60165296,52439755.92359457,0.00014769614192399426,0.0,159863456.34886578,0.0,1374500000.0,193.7024119336747
26,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,8,4,3,1,0,3,3,1,2,6,6,3,5,9,9,0.0,202196758.0161829,0.0,1088815.8634902493,87722647.49511826,0.0008189614565127519,0.0,72006834.11481157,0.0,6021131.405078393,40635631.443198405,0.0021267109290946527,14211770.178353943,184523269.75552836,0.009624721440322259,1174000000.0,0.0
27,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,2,6,3,8,1,3,1,0,9,2,10,8,8,3,10,3,0.0,215695464.74350268,0.0,0.0,131469340.4991319,0.0,7096743.325741932,70604378.4785609,0.0014403055455076228,0.0,72419764.3468473,0.0,94431800.88095938,141674567.95029482,0.009546494798310014,1215000000.0,3851.387127736927
28,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,4,7,10,9,2,6,7,4,3,7,10,6,9,7,10,0,0.0,339416355.6719681,0.0,0.0,209379725.79999262,0.0,0.0,97378117.27211015,0.0,1187086.8946125847,69057791.17472723,6.187043814301032e-05,10077048.190173816,117796359.25139299,0.00084465410732388,741100000.0,612.751041067462
29,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,4,6,0,0,8,2,5,6,1,5,9,7,6,1,3,8,0.0,60717312.84309486,0.0,0.0,220435620.62262288,0.0,0.0,92666736.39115658,0.0,153603.71115549974,58988229.06026708,7.682275895406175e-06,186136736.0937877,111861095.93045461,0.014588781095744775,1390100000.0,10931.514400463508
30,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,3,7,0,2,0,3,9,4,6,9,10,1,3,7,1,1,0.0,115272862.040791,0.0,3853872.215734602,147378844.74942005,0.0003436081748872658,0.0,119144733.07917503,0.0,0.0,41462677.58134803,0.0,0.0,108628166.34997386,0.0,1779400000.0,154.91842032619454
31,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,4,10,6,9,2,6,10,7,2,10,9,8,0,1,5,4,0.0,326034931.6970743,0.0,0.0,243672648.28744268,0.0,0.0,122094886.35989553,0.0,4183385.205880708,39941093.46262007,0.00021668067930415087,378222038.44188124,103799344.79743059,0.030281550923080738,448400000.0,21817.77046713983
32,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,3,4,7,8,3,0,5,1,2,0,1,1,4,2,2,1,0.0,236205420.21161813,0.0,0.0,113553565.23269883,0.0,998338.2483006496,43224599.14167526,0.00016337208540843036,52385987.45331414,23226689.948099688,0.0016723226074783402,0.0,85712229.06212911,0.0,1549600000.0,3237.4768850504547
33,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,3,8,0,3,0,4,9,7,6,10,10,7,4,7,1,1,0.0,131633016.52358353,0.0,3825083.162934265,156295954.0347702,0.00033877688259290436,0.0,142379763.30064917,0.0,0.0,57505503.63725928,0.0,21726175.820866596,108628166.34997386,0.001821875302858961,1773500000.0,1165.5465009564582
34,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,6,9,0,0,9,5,6,5,8,9,2,1,3,9,9,0.0,165026199.05882242,0.0,3825083.162934265,170379956.6504963,0.002823140688274203,0.0,120586816.3180484,0.0,910530.322919039,37212317.051685825,0.00036994067153209764,94431800.88095938,168589300.88598523,0.0636432986554001,1555700000.0,0.0
35,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,3,7,4,4,0,7,2,1,7,8,8,4,10,2,0,0,0.0,197917825.35986206,0.0,3834679.513867712,127487673.07826531,0.0003403873133576917,0.0,104473728.2687915,0.0,837469.0335891284,59301373.66643359,3.8572309150445074e-05,114347802.6220747,27578229.96765524,0.009091140918831307,1511300000.0,5824.23496198675
36,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,3,5,7,8,5,1,4,1,3,0,1,1,4,2,5,5,0.0,248766314.43031573,0.0,0.0,169928325.99237236,0.0,7300434.464453817,45324187.55237766,0.0012117737265166604,64946625.96368345,23226689.948099688,0.0021596596387354053,0.0,113206206.35935302,0.0,1397700000.0,4165.463166414416
37,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,4,8,4,6,6,2,5,3,6,9,3,0,10,4,8,0.0,206732215.13540775,0.0,0.0,210924252.16788617,0.0,0.0,98505116.46237586,0.0,1126454.9911647772,29582406.110525247,0.0004753339850230981,0.0,182455193.6680717,0.0,1486700000.0,0.0
38,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,4,1,6,6,1,6,8,6,2,10,9,8,0,9,7,2,0.0,172304199.80689174,0.0,0.0,209376116.85982177,0.0,0.0,116368630.45209846,0.0,1187086.8946125847,39941093.46262007,6.187043814301032e-05,0.0,160123339.58615863,0.0,692500000.0,65.22207565930775
39,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,3,5,3,1,7,9,0,9,6,4,10,1,4,0,1,3,0.0,146778470.53340834,0.0,0.0,187169896.6435016,0.0,0.0,126801128.08966137,0.0,0.0,43259737.60104502,0.0,343374737.3048744,56425877.743436806,0.026821035780000474,1033800000.0,17346.823722082
40,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,3,7,6,6,1,8,8,4,5,5,9,0,3,2,8,6,0.0,238931234.54161525,0.0,0.0,232276508.48647714,0.0,0.0,98311612.93042651,0.0,2252909.9823295544,29582406.110525247,0.00011408015640554354,188493223.40327036,135767133.9269859,0.01497697845821546,997200000.0,9403.729973715548
41,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,10,7,7,2,9,4,10,1,10,8,6,7,9,6,0,0.0,311089523.361342,0.0,0.0,216283869.0560246,0.0,0.0,136606621.6734966,0.0,4588678.938415302,55404645.058467925,0.001887634107049489,0.0,107608403.84178665,0.0,538900000.0,0.0
42,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,5,1,5,3,3,0,7,6,0,5,3,3,4,0,2,0.0,158676229.48838806,0.0,0.0,100759376.17493644,0.0,0.0,73946120.41768885,0.0,26404282.67065175,32129000.278980844,0.0032021011574859945,35725124.36270207,64922482.303728715,0.00874005715794944,831600000.0,1549.690090616418
43,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,3,1,5,5,3,1,1,7,3,6,6,5,4,8,0,6,0.0,154539421.81426284,0.0,0.0,133890616.55286585,0.0,0.0,108773550.42496385,0.0,6571752.290241454,40157991.28163976,0.00028917599300501683,11716933.07397752,101157510.29530728,0.0009898569865692275,1070700000.0,897.4382500116899
44,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,8,0,1,7,1,8,7,3,5,2,9,0,1,7,0.0,135122680.3738662,0.0,547081.2358270483,164105490.41814741,0.00041321927704349604,0.0,122116018.30250412,0.0,37296379.47901657,42697354.55003403,0.013447783063857294,799330697.0307381,70740857.80294001,0.5161089087245803,589200000.0,0.0
45,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,3,2,7,4,10,9,3,4,6,8,9,8,0,7,4,8,0.0,174873675.86822036,0.0,0.0,316042431.95816076,0.0,0.0,114493311.31158201,0.0,2426036.0741747115,39941093.46262007,0.00012497927056310084,1205719.1985819584,156555484.68187565,0.00010012788318182982,569600000.0,172.1277712991332
46,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,7,0,6,7,3,4,7,3,6,8,7,7,1,0,0.0,103162272.08375776,0.0,0.0,229784558.25432444,0.0,0.0,100566041.17395067,0.0,4548710.518922366,55121128.58304478,0.0005861340622077243,0.0,75869639.77914998,0.0,1233700000.0,121.17785579155905
47,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,6,1,4,0,7,5,4,0,9,7,6,0,9,5,5,0.0,161250294.9980649,0.0,3892257.619468381,148478841.59446153,0.0010501496938392424,0.0,72854053.84616798,0.0,6922063.6491082795,30185557.33409556,0.000935766063917863,0.0,161447245.3856069,0.0,1063100000.0,254.30285972701535
48,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,2,7,6,5,0,3,1,1,8,7,2,6,4,5,0.0,146588659.25632885,0.0,0.0,138724961.8150669,0.0,0.0,69869514.91937588,0.0,1065823.08771697,46905776.00269387,0.00015662915478759963,23097560.38768152,132428957.66281432,0.005734849110767857,1035500000.0,552.9540085679104
49,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,2,4,4,0,6,6,6,3,2,5,10,8,9,4,1,6,0.0,102578836.07266891,0.0,0.0,245685456.69229835,0.0,0.0,82783545.95987594,0.0,0.0,76145916.63981736,0.0,45278397.21162954,109657142.11399584,0.004634270379392221,1080100000.0,1731.592599687509
50,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,3,10,4,9,5,6,10,7,5,3,10,1,0,6,2,3,0.0,298539894.1383401,0.0,0.0,281566013.24759847,0.0,0.0,106871117.97430593,0.0,0.0,29229280.98454815,0.0,34960040.20379675,113723473.72410369,0.0029143607285132193,948600000.0,1635.7957762285848
51,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,2,3,5,9,4,1,0,0,8,2,8,3,0,4,4,2,0.0,213547418.03482002,0.0,0.0,97105266.60422453,0.0,14919549.721764078,66289265.72651896,0.003043905540858268,2039827.0900950364,27169299.885837637,0.00011776396450710476,75278385.7521509,107638715.3561709,0.007691691413971991,1184300000.0,3366.185327877006
52,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,3,4,6,7,7,9,6,4,1,6,8,3,4,1,1,10,0.0,212649028.4929304,0.0,0.0,300232072.25923526,0.0,0.0,86765512.49201444,0.0,4588678.938415302,41199756.502334505,0.0002265160928459387,372736100.11357737,113150419.06202745,0.029577635294720933,436400000.0,18628.278436580495
53,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,3,0,6,0,1,10,3,5,2,1,6,0,1,4,5,5,0.0,60717312.84309486,0.0,544407.9317451246,210407219.44644904,4.913768739076511e-05,0.0,80703403.63794069,0.0,17033729.159573805,20319063.206658736,0.0007520589590048417,50648071.874995284,124957038.67102736,0.0040721364848003115,833300000.0,3387.426330505995
54,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,2,1,10,0,1,9,0,5,3,2,3,7,6,10,4,5,0.0,131052131.21815366,0.0,0.0,131312232.00609401,0.0,0.0,86427363.44892766,0.0,57480761.433260925,41840306.64635611,0.0027994693990702544,0.0,163588475.56362754,0.0,297900000.0,2652.337056125215
55,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,3,6,0,0,1,7,10,3,0,9,6,8,0,7,4,5,0.0,60717312.84309486,0.0,544407.9317451246,244284200.28343338,4.913768739076511e-05,0.0,69113893.35624374,0.0,6480434.015399046,32293439.297215313,0.00028325778794360444,0.0,139497823.77407175,0.0,1184300000.0,373.8465913647687
56,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,2,7,2,5,7,7,6,4,6,2,5,5,4,4,0,1,0.0,188303187.5061465,0.0,0.0,271785414.69060427,0.0,0.0,93339195.83627465,0.0,5465055.079445338,37729292.17227027,0.00028041304528341366,51318821.83602362,62015940.60605301,0.005238400796525568,1864000000.0,2215.335236211686
57,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,3,2,4,5,1,7,3,0,9,1,3,4,6,5,3,4,0.0,154456759.19007495,0.0,0.0,176662897.9681399,0.0,7132688.820808736,68076065.3536397,0.0011627496052491388,20900552.551613767,35100736.5165644,0.0007814966892573307,0.0,116251007.40722865,0.0,1511300000.0,1455.4743675796701
58,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,4,6,0,7,1,6,2,1,1,7,8,10,10,4,6,6,0.0,144075745.84278923,0.0,0.0,160719265.89464295,0.0,7180616.147564474,77892499.82878676,0.001176756497039859,1053696.707027409,80101051.1366488,5.1243646274485544e-05,27446321.959994845,135800688.95597446,0.002227923153837896,1172300000.0,1868.9197059465941
59,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,2,10,5,8,10,5,10,3,4,0,8,5,0,1,7,2,0.0,296933286.35729927,0.0,0.0,347407584.98814714,0.0,0.0,53401633.19836887,0.0,1065823.08771697,30591224.96313769,6.526214782816652e-05,197688232.3096908,106824032.87434787,0.019679415985767355,1391800000.0,7870.587495966975
60,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,3,1,7,5,9,5,7,6,2,6,0,6,0,4,5,1,0.0,173779544.91347647,0.0,0.0,287731182.4606079,0.0,0.0,99599968.85895519,0.0,48824464.58733465,12586457.998778107,0.0015457108091313431,0.0,109207655.50915362,0.0,1480600000.0,2990.4985522221896
61,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,3,2,6,5,0,6,9,9,1,0,7,3,4,0,3,1,0.0,172810210.38505024,0.0,3844275.8648011554,176137595.17056075,0.00034199774412247845,0.0,68076065.3536397,0.0,8209697.117000491,38523445.297830656,0.000381802700132176,856837344.3587173,58044072.09764524,0.06752415823050667,1093800000.0,43408.55571321284
62,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,3,0,9,1,6,7,4,0,2,7,1,4,9,9,1,0.0,136598613.0637709,0.0,547081.2358270483,199302948.34470654,0.00041321927704349604,0.0,51760044.33566119,0.0,10776853.014760498,34943616.700101204,0.004186870551394373,0.0,170822969.73716813,0.0,1147700000.0,0.0
63,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,9,9,4,5,1,6,10,5,5,8,4,1,6,4,5,0.0,288239906.3652377,0.0,0.0,185448500.9550073,0.0,0.0,132184573.70860092,0.0,1065823.08771697,38253795.54135914,0.00015662915478759963,23097560.38768152,132428957.66281432,0.005734849110767857,1035500000.0,552.9540085679104
64,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,3,0,6,7,5,4,0,5,10,7,9,7,0,9,0.0,76431543.68310125,0.0,0.0,247687966.29366034,0.0,0.0,59344433.82549998,0.0,0.0,72463326.95966698,0.0,0.0,111391319.54155913,0.0,1408800000.0,0.0
65,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,6,3,8,9,10,6,3,1,1,6,8,2,0,4,6,0.0,215695464.74350268,0.0,0.0,349713086.7796076,0.0,0.0,69869514.91937588,0.0,4548710.518922366,44029418.52559221,0.0016281501727992342,179079314.54357174,79444167.5169792,0.11638649702739735,869900000.0,0.0
66,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,2,7,10,6,2,2,1,10,5,9,8,4,9,9,5,6,0.0,295958501.4290984,0.0,0.0,132359804.95906831,0.0,0.0,151735096.47011566,0.0,2147453.6750544794,55948589.34484537,0.0001284818191951959,0.0,167204721.49802536,0.0,1018700000.0,87.81520973452007
67,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,6,2,5,1,5,6,4,0,4,4,7,1,3,4,2,0.0,176911057.71090558,0.0,0.0,180482162.0222122,0.0,0.0,56604892.31464201,0.0,24256828.99559727,35155571.37429637,0.008038179976159791,8897317.148776315,102159388.73150346,0.006168294548627244,1164700000.0,0.0
68,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,4,3,6,7,10,4,9,6,2,1,9,8,6,7,6,9,0.0,201647263.58598375,0.0,0.0,318236425.07232547,0.0,0.0,85077442.7104589,0.0,1174960.5139230238,62224035.92977156,6.090436615496263e-05,0.0,177353236.0516548,0.0,526900000.0,64.89549781462284
69,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,6,6,1,1,7,0,7,1,8,8,5,9,0,3,0.0,172304199.80689174,0.0,0.0,156208672.64369372,0.0,7132688.820808734,59903444.52010451,0.009689580043742818,2099735.507104412,56134274.688930154,0.0008248657797886961,11716933.07397752,94182724.21680857,0.00824880822141023,1652300000.0,0.0
70,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,3,10,3,1,7,6,5,9,5,3,10,1,3,7,2,3,0.0,204890904.14973927,0.0,0.0,248824969.30681318,0.0,0.0,118308431.66728085,0.0,0.0,41462677.58134803,0.0,8897317.148776315,120153157.44399336,0.0007401953458352692,846700000.0,417.0297121376995
71,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,3,5,4,9,5,9,5,7,6,4,10,1,7,0,1,3,0.0,225945003.33461732,0.0,0.0,260958791.3731983,0.0,0.0,114811858.60797407,0.0,0.0,49868110.74766768,0.0,531366589.72763693,56425877.743436806,0.04196334497247779,1135700000.0,26458.46101796802
72,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,3,4,1,3,0,4,1,0,3,5,9,4,5,2,0,5,0.0,135274189.70659953,0.0,3805890.461067376,97105266.60422453,0.0003355560210633302,988324.7296876564,56050655.355505094,0.00016044560731856347,153603.71115549974,48394324.53196767,7.682275895406175e-06,147023084.64686164,66804278.02330021,0.01177927449489664,1420800000.0,7363.8798370524755
