,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.1_Expected Number of Deaths,A.1_RfR Total Costs,A.1_Expected Evacuation Costs,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.2_Expected Number of Deaths,A.2_RfR Total Costs,A.2_Expected Evacuation Costs,A.3_Expected Annual Damage,A.3_Dike Investment Costs,A.3_Expected Number of Deaths,A.3_RfR Total Costs,A.3_Expected Evacuation Costs,A.4_Expected Annual Damage,A.4_Dike Investment Costs,A.4_Expected Number of Deaths,A.4_RfR Total Costs,A.4_Expected Evacuation Costs,A.5_Expected Annual Damage,A.5_Dike Investment Costs,A.5_Expected Number of Deaths,A.5_RfR Total Costs,A.5_Expected Evacuation Costs
10,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,3,0,3,0,1,0,0,0,0,1,9,0,0,2,0,7,0.0,42291505.65437629,0.0,0,0,0.0,38245121.951764055,0.0,0,0,0.0,20299287.62732069,0.0,0,0,0.0,18144080.211109996,0.0,0,0,0.0,74843606.29614219,0.0,0,0
11,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,2,1,0,2,3,0,1,1,2,3,7,2,3,1,0,0,0.0,71223146.50296113,0.0,0,0,0.0,90143923.5488522,0.0,0,0,0.0,69988963.81099284,0.0,0,0,702350.6584049182,34976245.31165375,3.9946513065095326e-05,0,0,5325723.651087587,25037214.086173728,0.0005501035932610355,0,0
12,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,2,1,0,2,0,0,0,0,0,7,7,0,0,1,1,2,0.0,71223146.50296113,0.0,0,0,935171.1101066824,0.0,0.00010351425940691226,0,0,0.0,34221561.73832255,0.0,0,0,2519890.1170473266,14261651.781499248,0.00014311162046051616,0,0,8799356.520511119,80425146.24616088,0.0009072894303920104,0,0
13,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,3,1,2,3,0,0,0,0,0,0,9,0,0,0,0,3,0.0,117999895.068093,0.0,0,0,3824677.840576334,0.0,0.0003412058984026468,0,0,0.0,0.0,0.0,0,0,0.0,18144080.211109996,0.0,0,0,35706716.14469695,30351526.042379983,0.002934845325996257,0,0
14,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,3,2,2,3,0,0,0,0,1,0,6,0,0,1,0,0,0.0,125475141.84558643,0.0,0,0,8483768.513366552,0.0,0.000756371925628308,0,0,0.0,20299287.62732069,0.0,0,0,3312710.4766571503,12586457.998778107,0.00013722588853491073,0,0,0.0,25037214.086173728,0.0,0,0
15,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,3,1,7,0,2,0,6,0,1,0,6,0,0,4,0,2,0.0,103162272.08375776,0.0,0,0,0.0,113454271.89419729,0.0,0,0,592596.1440131378,20299287.62732069,9.805198242527614e-05,0,0,3611314.999411758,12586457.998778107,0.0001522617317270425,0,0,0.0,64922482.303728715,0.0,0,0
16,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,2,0,3,1,0,0,0,0,0,0,9,1,0,1,0,0,0.0,78453877.84187987,0.0,0,0,935171.1101066824,0.0,0.00010351425940691226,0,0,0.0,0.0,0.0,0,0,0.0,26696770.02353885,0.0,0,0,34504202.786820635,25037214.086173728,0.0035682007157157047,0,0
17,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,1,2,3,0,1,0,0,0,7,3,0,1,0,0,0.0,113429024.97505823,0.0,0,0,0.0,90143923.5488522,0.0,0,0,0.0,0.0,0.0,0,0,309904.0991781617,24956580.074387155,1.7348147560054837e-05,0,0,7285022.91999989,25037214.086173728,0.0007521358387438629,0,0
18,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,2,1,1,2,0,0,1,0,0,0,6,0,0,0,0,0,0.0,106351803.45458499,0.0,0,0,0.0,38245121.951764055,0.0,0,0,0.0,0.0,0.0,0,0,6238442.1579444315,12586457.998778107,0.00033441119079325853,0,0,4925281.566274531,0.0,0.0005006605086550278,0,0
19,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,2,0,0,0,0,3,0,0,0,0,8,0,0,5,3,2,0.0,0.0,0.0,0,0,0.0,47842699.56310011,0.0,0,0,0.0,0.0,0.0,0,0,250202.83343856593,16108916.742160894,1.4920591466020295e-05,0,0,0.0,108663782.25626409,0.0,0,0
20,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,3,1,5,0,0,0,5,1,6,0,6,0,1,0,0,0,0.0,88511693.9986257,0.0,0,0,2537095.4900360964,59410102.93073928,0.00022534104541757714,0,0,0.0,52771009.1301844,0.0,0,0,2694460.157081888,20319063.206658736,0.0001135550126837915,0,0,10659041.057784129,0.0,0.0008704522780248244,0,0
21,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,2,1,1,2,7,0,0,0,0,0,9,0,0,0,0,0,0.0,106351803.45458499,0.0,0,0,0.0,73315450.27094865,0.0,0,0,0.0,0.0,0.0,0,0,0.0,18144080.211109996,0.0,0,0,19147615.09651973,0.0,0.0019622707783615552,0,0
22,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,2,1,2,0,0,0,0,0,3,0,7,0,0,2,3,3,0.0,71223146.50296113,0.0,0,0,0.0,0.0,0.0,0,0,0.0,24198032.45136138,0.0,0,0,2529636.744748248,14261651.781499248,0.000144082225812686,0,0,0.0,95943402.46408135,0.0,0,0
23,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,2,0,7,0,5,0,0,0,6,0,0,0,0,0,0.0,37255203.23710208,0.0,0,0,0.0,148478841.59446153,0.0,0,0,0.0,0.0,0.0,0,0,6238442.1579444315,12586457.998778107,0.0008025868579038206,0,0,4925281.566274531,0.0,0.0012015852207720667,0,0
24,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,2,0,0,8,0,0,3,3,3,0.0,66507014.9338145,0.0,0,0,0.0,38245121.951764055,0.0,0,0,0.0,22167818.198803753,0.0,0,0,1049977.2161679142,16108916.742160894,0.00015365008687476088,0,0,0.0,101052794.97906452,0.0,0,0
25,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,0,0,0,0,0,0,8,0,0,0,0,3,0.0,66507014.9338145,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1049977.2161679142,16108916.742160894,6.402086953115037e-05,0,0,12488981.087567525,30351526.042379983,0.0012776220611377788,0,0
26,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,1,0,4,0,0,0,0,0,0,7,0,0,1,1,6,0.0,82177854.37813279,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,929712.2975344851,14261651.781499248,4.16355541441316e-05,0,0,1959299.268912304,94003040.7224447,0.00016162579638626188,0,0
27,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,3,0,0,0,1,4,0,0,8,0,5,1,0,0,0.0,76431543.68310125,0.0,0,0,0.0,38245121.951764055,0.0,0,0,0.0,26403379.542306438,0.0,0,0,166801.88895904395,30591224.96313769,6.631373984897908e-05,0,0,7988585.476631381,25037214.086173728,0.005501035932610353,0,0
28,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,2,0,1,3,0,1,0,0,0,1,7,0,0,0,0,0,0.0,76431543.68310125,0.0,0,0,0.0,38245121.951764055,0.0,0,0,0.0,20299287.62732069,0.0,0,0,4129056.4060063753,14261651.781499248,0.00023897210150766453,0,0,6621825.771000551,0.0,0.0006738814754432118,0,0
29,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,2,3,1,7,0,1,6,0,0,1,7,1,0,0,0,0,0.0,156394694.65186498,0.0,0,0,1268547.7450180482,106547043.08732629,0.00014083815338598573,0,0,0.0,20299287.62732069,0.0,0,0,856575.9512118037,22258486.725668453,4.864114993105341e-05,0,0,17306885.787625477,0.0,0.001770318158240562,0,0
30,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,3,1,0,1,0,3,0,2,0,0,9,0,0,1,0,0,0.0,66507014.9338145,0.0,0,0,2827922.8377888505,47842699.56310011,0.000252123975209436,0,0,0.0,22167818.198803753,0.0,0,0,0.0,18144080.211109996,0.0,0,0,5325723.651087587,25037214.086173728,0.00044008287460882813,0,0
31,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,3,1,2,2,0,4,0,0,2,3,7,0,0,0,0,0,0.0,112429465.54032746,0.0,0,0,0.0,53358573.6002109,0.0,0,0,0.0,48047840.36663434,0.0,0,0,2107051.975214754,14261651.781499248,9.587163135622875e-05,0,0,13625427.169836966,0.0,0.0011091303343988604,0,0
32,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,6,2,1,0,9,0,0,0,2,7,0,0,2,0,0,0.0,149071578.869657,0.0,0,0,1268547.7450180482,89992006.20155807,0.00014083815338598573,0,0,0.0,22167818.198803753,0.0,0,0,695018.1546217958,14261651.781499248,3.885413660905193e-05,0,0,0.0,27578229.96765524,0.0,0,0
33,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,2,0,5,3,1,0,1,0,0,4,6,0,0,0,0,0,0.0,104000676.5449382,0.0,0,0,0.0,77797112.44472042,0.0,0,0,0.0,26403379.542306438,0.0,0,0,3614563.8753120652,12586457.998778107,0.00019065069977619313,0,0,6621825.771000551,0.0,0.0006738814754432118,0,0
34,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,3,2,0,4,0,0,1,1,1,0,7,2,0,1,0,0,0.0,88429031.37443781,0.0,0,0,2537095.4900360964,38245121.951764055,0.00022534104541757714,0,0,0.0,41292219.28177295,0.0,0,0,75209.95626547236,23537919.412238494,3.326273191153804e-06,0,0,2662861.8255437934,25037214.086173728,0.00022004143730441406,0,0
35,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,2,0,0,9,0,7,5,2,0,0.0,66507014.9338145,0.0,0,0,0.0,38245121.0,0.0,0,0,0.0,22167818.198803753,0.0,0,0,0.0,37441554.88587584,0.0,0,0,0.0,69299973.72589847,0.0,0,0
36,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,2,0,2,2,0,7,7,0,0,0,7,0,0,1,0,0,0.0,77099991.75787257,0.0,0,0,1268547.7450180482,166071355.0,0.00014083815338598573,0,0,0.0,0.0,0.0,0,0,2094475.379062596,14261651.781499248,0.00011858711508389721,0,0,0.0,25037214.086173728,0.0,0,0
37,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,3,1,1,1,0,1,0,1,0,0,6,1,0,1,0,0,0.0,101474517.63440433,0.0,0,0,1268547.7450180482,38245121.951764055,0.00011267052270878857,0,0,0.0,20299287.62732069,0.0,0,0,3471605.439972488,20319063.206658736,0.0001520887991599104,0,0,0.0,25037214.086173728,0.0,0,0
38,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,2,0,3,0,0,0,1,0,3,3,0,0,0,3,5,0.0,82486364.32617709,0.0,0,0,935171.1101066824,0.0,0.0006900950627127482,0,0,0.0,45324187.55237766,0.0,0,0,72654834.29169096,8453407.696608048,0.022850355378705674,0,0,0.0,70917961.72350763,0.0,0,0
39,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,2,1,1,3,1,0,0,1,0,0,4,0,1,0,0,0,0.0,111738176.02288951,0.0,0,0,0.0,38245121.951764055,0.0,0,0,0.0,20299287.62732069,0.0,0,0,12410148.666553594,16925244.491970196,0.0006189354158795868,0,0,0.0,0.0,0.0,0,0
40,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,2,0,0,0,0,2,3,0,0,7,0,0,5,0,3,0.0,37255203.23710208,0.0,0,0,2537095.4900360964,42818415.6714978,0.0006760231362527313,0,0,0.0,24198032.45136138,0.0,0,0,460324.0117091064,14261651.781499248,6.159319329105442e-05,0,0,0.0,72580607.18485624,0.0,0,0
41,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,2,2,7,1,3,0,0,0,0,8,1,0,3,0,0,0.0,155040808.56785768,0.0,0,0,0.0,87722647.49511826,0.0,0,0,0.0,0.0,0.0,0,0,83400.94447952198,24379010.378793493,1.1936473172816234e-05,0,0,0.0,30351526.042379983,0.0,0,0
42,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,2,1,3,2,0,0,0,0,0,0,7,0,0,2,0,0,0.0,119045917.89979702,0.0,0,0,3805643.2350541446,0.0,0.0004225144601579572,0,0,0.0,0.0,0.0,0,0,225629.86879641708,14261651.781499248,1.2473524466826763e-05,0,0,0.0,27578229.96765524,0.0,0,0
43,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,3,0,2,3,0,0,4,0,5,0,7,1,0,0,0,0,0.0,82486364.32617709,0.0,0,0,2537095.4900360964,53358573.6002109,0.00022534104541757714,0,0,0.0,28798397.130608946,0.0,0,0,773175.0067322818,22258486.725668453,3.493409555390397e-05,0,0,16851299.219081864,0.0,0.0013759148160728918,0,0
44,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,3,2,2,3,0,0,0,3,0,0,1,0,0,5,0,0,0.0,125475141.84558643,0.0,0,0,935171.1101066824,0.0,8.28114075255298e-05,0,0,0.0,24198032.45136138,0.0,0,0,120576169.52760667,6320800.309666242,0.004017053152981984,0,0,0.0,36676675.840294495,0.0,0,0
45,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,2,0,1,0,0,2,3,0,7,4,0,0,3,1,1,0.0,72222705.9376919,0.0,0,0,2537095.4900360964,42818415.6714978,0.0006760231362527313,0,0,0.0,62048975.90137317,0.0,0,0,13562181.179108892,9695195.36216505,0.0016108246809710084,0,0,0.0,86682896.14650115,0.0,0,0
46,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,6,0,0,0,7,1,7,2,0,0,0.0,66507014.9338145,0.0,0,0,0.0,106547043.08732629,0.0,0,0,0.0,0.0,0.0,0,0,785751.6028844401,40918338.305804,0.00029946695702512497,0,0,0.0,27578229.96765524,0.0,0,0
47,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,3,1,1,0,0,7,0,1,0,0,1,0.0,66507014.9338145,0.0,0,0,1268547.7450180482,90143923.5488522,0.00033801156812636565,0,0,0.0,20299287.62732069,0.0,0,0,385114.05544363405,22258486.725668453,5.161437371759301e-05,0,0,14834304.166290523,25037214.086173728,0.0036420682764091473,0,0
48,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,2,1,2,0,0,0,7,0,7,3,6,0,0,0,0,5,0.0,71223146.50296113,0.0,0,0,5655845.675577701,73315450.27094865,0.0006303099380235901,0,0,0.0,64835987.44502628,0.0,0,0,3413328.2762087886,12586457.998778107,0.00017790514037115666,0,0,3283521.0441830205,36676675.840294495,0.0003337736724366852,0,0
49,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,2,0,0,3,3,0,2,8,0,1,1,0,0,0.0,106351803.45458499,0.0,0,0,2537095.4900360964,47842699.56310011,0.001877842045146476,0,0,0.0,48716867.66610375,0.0,0,0,0.0,24379010.378793493,0.0,0,0,2662861.8255437934,25037214.086173728,0.001833678644203451,0,0
50,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,2,1,2,0,7,0,0,1,0,0,9,1,0,2,0,0,0.0,71223146.50296113,0.0,0,0,0.0,73315450.27094865,0.0,0,0,0.0,20299287.62732069,0.0,0,0,0.0,26696770.02353885,0.0,0,0,0.0,27578229.96765524,0.0,0,0
51,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,3,1,6,1,0,0,5,0,0,0,9,0,0,1,0,0,0.0,136851315.59679127,0.0,0,0,7666273.737651894,59410102.93073928,0.0006842448280321713,0,0,8607877.674960941,0.0,0.0014232223173043978,0,0,0.0,18144080.211109996,0.0,0,0,15079473.07083441,25037214.086173728,0.0012427700933670851,0,0
52,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,2,1,2,6,1,3,0,0,0,0,8,1,0,2,0,0,0.0,138379858.76624286,0.0,0,0,0.0,87722647.49511826,0.0,0,0,0.0,0.0,0.0,0,0,354001.23601041886,24379010.378793493,2.1739504072082973e-05,0,0,6257853.603964469,27578229.96765524,0.0006532723845015939,0,0
53,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,3,0,1,3,0,0,0,1,0,0,2,0,0,4,0,1,0.0,76431543.68310125,0.0,0,0,3805643.2350541446,0.0,0.0003380115681263657,0,0,0.0,20299287.62732069,0.0,0,0,95286575.20451552,7332080.219521779,0.0033451401641690776,0,0,0.0,62015940.60605301,0.0,0,0
54,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,3,2,2,0,0,0,1,3,0,0,1,0,0,5,0,0,0.0,77099991.75787257,0.0,0,0,5641761.593018411,38245121.951764055,0.0005018844020238009,0,0,0.0,24198032.45136138,0.0,0,0,180660291.16998482,6320800.309666242,0.006341487480820715,0,0,0.0,36676675.840294495,0.0,0,0
55,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,3,1,5,2,0,0,5,0,0,0,9,0,0,1,0,0,0.0,134088166.03671771,0.0,0,0,7666273.737651894,59410102.93073928,0.0006842448280321713,0,0,2411475.936639284,0.0,0.0004000254147222838,0,0,0.0,18144080.211109996,0.0,0,0,17463978.732442707,25037214.086173728,0.0014403424124994103,0,0
56,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,3,1,2,2,1,4,4,0,0,0,7,1,5,0,0,0,0.0,112429465.54032746,0.0,0,0,0.0,156546813.8713212,0.0,0,0,0.0,0.0,0.0,0,0,785751.6028844401,36740794.946645245,3.593603484301499e-05,0,0,17306885.787625477,0.0,0.0014162545265924494,0,0
57,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,0,2,0,1,0,0,7,0,0,0,0,7,0.0,106351803.45458499,0.0,0,0,2827922.8377888505,42818415.6714978,0.0007563719256283081,0,0,0.0,20299287.62732069,0.0,0,0,619808.1983563234,14261651.781499248,8.32711082882632e-05,0,0,8832510.219441049,44193513.54513965,0.0021642529638835656,0,0
58,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,2,3,2,0,6,0,0,0,0,0,10,0,7,2,0,0,0.0,83497824.69174261,0.0,0,0,0.0,66045103.44010488,0.0,0,0,0.0,0.0,0.0,0,0,0.0,40341224.33931139,0.0,0,0,0.0,27578229.96765524,0.0,0,0
59,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,2,1,1,0,0,0,3,1,0,0,9,0,7,2,0,5,0.0,66507014.9338145,0.0,0,0,0.0,47842699.56310011,0.0,0,0,0.0,20299287.62732069,0.0,0,0,186570.33821401393,37441554.88587584,1.1915676506711765e-05,0,0,0.0,66804278.02330021,0.0,0,0
60,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,2,0,2,3,0,0,0,7,3,4,7,1,0,0,0,2,0.0,82486364.32617709,0.0,0,0,3805643.2350541446,0.0,0.0004225144601579572,0,0,0.0,101783266.82547024,0.0,0,0,689774.0622527598,22258486.725668453,3.869408895370655e-05,0,0,10468760.85357529,27578229.96765524,0.0010658032606372632,0,0
61,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,2,1,2,2,1,0,3,0,3,0,0,3,0,2,0,0,0.0,112429465.54032746,0.0,0,0,0.0,87722647.49511826,0.0,0,0,2399592.8030808135,24198032.45136138,0.0004956906707150872,0,0,66650162.37835148,8453407.696608048,0.002834359480517413,0,0,0.0,27578229.96765524,0.0,0,0
62,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,2,6,1,0,0,0,0,1,0,3,7,0,0,2,0,0,0.0,100714900.1874114,0.0,0,0,0.0,0.0,0.0,0,0,0.0,45324187.55237766,0.0,0,0,2107051.975214754,14261651.781499248,0.00011983953919528597,0,0,0.0,27578229.96765524,0.0,0,0
63,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,3,7,2,0,0,0,0,0,0,2,1,0,0,1,0,2,0.0,115272862.040791,0.0,0,0,3805643.2350541446,0.0,0.0003380115681263657,0,0,0.0,22167818.198803753,0.0,0,0,82560610.12216601,6320800.309666242,0.0027192347179397554,0,0,0.0,53557815.768892445,0.0,0,0
64,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,3,3,5,0,0,1,4,1,0,0,5,0,0,4,0,0,0.0,101988088.03595176,0.0,0,0,1268547.7450180482,93427003.66768599,0.00011267052270878857,0,0,0.0,20299287.62732069,0.0,0,0,10043200.660682203,11068771.68625446,0.00040655218101811415,0,0,0.0,33377116.55719709,0.0,0,0
65,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,2,0,1,3,2,0,5,1,6,0,0,1,0,5,0.0,83497824.69174261,0.0,0,0,0.0,136700503.7472634,0.0,0,0,592596.1440131378,52811167.63503672,9.805198242527614e-05,0,0,3611314.999411758,12586457.998778107,0.0001522617317270425,0,0,0.0,62967163.32200457,0.0,0,0
66,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,3,0,0,1,0,2,0,1,0,1,8,0,0,4,0,1,0.0,32694901.094161935,0.0,0,0,0.0,42818415.6714978,0.0,0,0,0.0,41292219.28177295,0.0,0,0,250202.83343856593,16108916.742160894,1.1936473172816232e-05,0,0,0.0,62015940.60605301,0.0,0,0
67,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,3,2,2,0,0,3,7,0,0,1,9,0,0,2,0,0,0.0,77099991.75787257,0.0,0,0,0.0,128933649.86623067,0.0,0,0,0.0,20299287.0,0.0,0,0,0.0,18144080.211109996,0.0,0,0,0.0,27578229.96765524,0.0,0,0
68,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,3,0,2,0,2,1,7,0,1,0,6,0,0,4,0,2,0.0,37255203.23710208,0.0,0,0,0.0,164812881.8250401,0.0,0,0,592596.1440131378,20299287.0,9.805198242527614e-05,0,0,3611314.999411758,12586457.998778107,0.0001522617317270425,0,0,0.0,64922482.303728715,0.0,0,0
